bnumber	description	gene name	GLC_BATCH_mu=0.58_S	LB_BATCH_mu=1.9_S	GLYC+AA_BATCH_mu=1.27_S	ACE_BATCH_mu=0.3_S	FUM_BATCH_mu=0.42_S	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.12_S	Stationary phase 1 day	Stationary phase 3 days	GLC+SALTS_BATCH_mu=0.55_S	GLC@42deg_BATCH_mu=0.66_S	GLC@pH6_BATCH_mu=0.63_S	XYL_BATCH_mu=0.55_S	MAN_BATCH_mu=0.47_S	GAL_BATCH_mu=0.26_S	SUCC_BATCH_mu=0.44_S	FRU_BATCH_mu=0.65_S
b4139	Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1	aspA	0.00957	0.484	0.26	0.0678	0.0769	0.0327	0.0388	0.0478	0.0712	0.0703	0.0514	0.0523	0.0397	0.043	0.00953	0.0106	0.00857	0.0229	0.0587	0.0276	0.0682	0.0191
b4140	UPF0716 protein fxsA OS=Escherichia coli (strain K12) GN=fxsA PE=1 SV=2	fxsA	0.0000149	0.00123	0.000441	0.000000729	0.000106	0.000000843	0.000161	0.000133	0.000905	0.000988	0.00134	0.000364	0.000000514	0.000000505	0.00000088	0.000022	0.000000946	0.000000898	0.000691	0.000000705	0.000237	0.000000952
b4142	10 kDa chaperonin OS=Escherichia coli (strain K12) GN=groS PE=1 SV=1	groS	0.255	0.735	0.654	0.21	0.293	0.258	0.319	0.236	0.243	0.209	0.162	0.148	0.389	0.331	0.286	0.828	0.406	0.331	0.259	0.167	0.349	0.258
b4143	60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2	groL	2.16	6.27	5.45	1.86	2.51	2.2	2.51	2.18	2.47	2.25	1.69	1.61	2.52	2.45	2.18	6.22	2.55	2.51	2.59	1.49	2.53	2.37
b4144	Uncharacterized protein yjeI OS=Escherichia coli (strain K12) GN=yjeI PE=4 SV=1	yjeI	0.0163	0.0339	0.0449	0.0216	0.0231	0.0382	0.0239	0.0241	0.0685	0.0698	0.0683	0.0522	0.0406	0.0425	0.0783	0.0259	0.0357	0.0362	0.0129	0.0263	0.0196	0.0173
b4146	Uncharacterized KamA family protein YjeK OS=Escherichia coli (strain K12) GN=yjeK PE=3 SV=1	epmB	0.00341	0.00574	0.00359	0.00104	0.00213	0.00165	0.00211	0.00146	0.00111	0.000569	0.000264	0.000205	0.000014	0.00000184	0.000223	0.00103	0.000322	0.00165	0.00103	0.000987	0.00129	0.00154
b4147	Elongation factor P OS=Escherichia coli (strain K12) GN=efp PE=1 SV=2	efp	0.613	1.33	0.852	0.274	0.458	0.415	0.497	0.423	0.386	0.294	0.224	0.182	0.284	0.271	0.554	0.414	0.555	0.573	0.434	0.333	0.516	0.538
b4149	Outer membrane lipoprotein blc OS=Escherichia coli (strain K12) GN=blc PE=1 SV=1	blc	0.00163	0.0064	0.00568	0.00272	0.00262	0.00282	0.00233	0.00157	0.00226	0.00239	0.00218	0.00219	0.00415	0.00357	0.00343	0.00215	0.00358	0.00173	0.0025	0.00255	0.00209	0.00166
b4150	Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1	ampC	0.00134	0.00256	0.00254	0.000579	0.000927	0.000905	0.00077	0.000755	0.000693	0.000512	0.000398	0.000269	0.0000316	0.000491	0.00105	0.000971	0.000764	0.000701	0.000477	0.000381	0.000626	0.000358
b4153	Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2	frdB	0.00741	0.0266	0.0117	0.0062	0.0171	0.0079	0.00689	0.00946	0.00716	0.0111	0.0106	0.0105	0.00485	0.00539	0.00835	0.0101	0.00892	0.00477	0.00545	0.00539	0.0125	0.00763
b4154	Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3	frdA	0.004	0.0447	0.0265	0.0115	0.0242	0.00593	0.0067	0.00703	0.00939	0.011	0.0103	0.0131	0.00197	0.00242	0.00447	0.0064	0.0038	0.00607	0.00868	0.00703	0.0242	0.00716
b4155	Uncharacterized protein YjeA OS=Escherichia coli (strain K12) GN=poxA PE=1 SV=1	poxA	0.00217	0.0159		0.000708	0.00123	0.00118	0.00141	0.000587	0.0014	0.00122	0.000695	0.0000877	0.00155	0.00499	0.0019	0.00221	0.00263			0.000508	0.00103	
b4159	Uncharacterized mscS family protein yjeP OS=Escherichia coli (strain K12) GN=yjeP PE=3 SV=3	mscM	0.00294	0.00483	0.00294	0.00319	0.00412	0.00578	0.0031	0.00517	0.00285	0.00289	0.00262	0.0034	0.00129	0.00146	0.00277	0.00373	0.00305	0.00252	0.00238	0.00347	0.00201	0.00272
b4160	Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1	psd	0.0966	0.112	0.104	0.0539	0.0684	0.0764	0.0876	0.0899	0.0693	0.0654	0.0611	0.0643	0.0459	0.0509	0.0789	0.0795	0.0728	0.0749	0.0858	0.064	0.0786	0.0991
b4161	Putative ribosome biogenesis GTPase RsgA OS=Escherichia coli (strain K12) GN=rsgA PE=1 SV=2	rsgA	0.0243	0.0255	0.0245	0.0128	0.0188	0.0195	0.0213	0.0202	0.0161	0.0132	0.011	0.0122	0.0104	0.01	0.0191	0.0281	0.0186	0.0207	0.017	0.014	0.0158	0.0183
b4162	Oligoribonuclease OS=Escherichia coli (strain K12) GN=orn PE=1 SV=2	orn	0.0176	0.0216	0.0182	0.013	0.0132	0.0145	0.0142	0.0132	0.0109	0.0088	0.00774	0.00755	0.0131	0.0123	0.0247	0.027	0.0327	0.0205	0.0173	0.016	0.0172	0.0192
b4167	Uncharacterized protein yjeF OS=Escherichia coli (strain K12) GN=yjeF PE=1 SV=2	nnr	0.00436	0.00779	0.00527	0.00641	0.00747	0.00568	0.00586	0.0053	0.0077	0.00983	0.0107	0.0169	0.00771	0.00692	0.00831	0.0086	0.00599	0.00695	0.00575	0.0108	0.00638	0.00521
b4168	UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1	tsaE	0.0255	0.0259	0.0245	0.0182	0.0206	0.0212	0.0248	0.0217	0.0195	0.0165	0.0174	0.0147	0.0152	0.00831	0.0198	0.0421	0.0298	0.0222	0.0201	0.0214	0.0197	0.0251
b4169	N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2	amiB	0.00122	0.000899	0.000793	0.000467	0.000468	0.000534	0.000688	0.000815	0.000433	0.000325	0.000333	0.000199	0.0000161	0.0000367	0.000598	0.00248	0.00138	0.000686	0.000599	0.000413	0.000447	0.000867
b4170	DNA mismatch repair protein mutL OS=Escherichia coli (strain K12) GN=mutL PE=1 SV=2	mutL	0.000907	0.00122	0.000484	0.00118	0.00144	0.00152	0.00173	0.00187	0.0031	0.00316	0.00302	0.00328	0.00143	0.00072	0.000849	0.000876	0.00109	0.000968	0.00158	0.000768	0.00123	0.00132
b4171	tRNA dimethylallyltransferase OS=Escherichia coli (strain K12) GN=miaA PE=1 SV=2	miaA	0.00467	0.00536	0.00457	0.00349	0.00313	0.00258	0.00376	0.00488	0.00191	0.00163	0.00168	0.00111	0.00137	0.00119	0.00211	0.00669	0.00312	0.0038	0.0035	0.00212	0.00216	0.00406
b4172	Protein hfq OS=Escherichia coli (strain K12) GN=hfq PE=1 SV=2	hfq	0.028	0.0421	0.0336	0.0201	0.0271	0.0271	0.0309	0.0265	0.0241	0.018	0.0138	0.0129	0.0287	0.0215	0.0426	0.0227	0.0368	0.0294	0.022	0.0226	0.0301	0.0282
b4173	GTP-binding protein hflX OS=Escherichia coli (strain K12) GN=hflX PE=1 SV=3	hflX	0.0192	0.035	0.0199	0.0137	0.0166	0.0153	0.024	0.0213	0.021	0.0169	0.0147	0.0145	0.00869	0.00905	0.0153	0.0208	0.0164	0.018	0.0237	0.0158	0.0183	0.0275
b4174	Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1	hflK	0.102	0.177	0.126	0.074	0.101	0.0835	0.114	0.106	0.0998	0.0882	0.0806	0.0687	0.0566	0.0603	0.0746	0.124	0.074	0.0907	0.0992	0.0679	0.0828	0.114
b4175	Modulator of FtsH protease HflC OS=Escherichia coli (strain K12) GN=hflC PE=1 SV=1	hflC	0.0806	0.133	0.092	0.0453	0.0706	0.056	0.0881	0.0744	0.0619	0.052	0.0426	0.037	0.0432	0.0397	0.0667	0.0779	0.0617	0.0819	0.0767	0.0536	0.0653	0.0873
b4177	Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2	purA	0.539	1.03	0.386	0.47	0.419	0.467	0.507	0.482	0.66	0.526	0.377	0.359	0.282	0.298	0.524	0.384	0.593	0.622	0.363	0.375	0.442	0.528
b4178	HTH-type transcriptional repressor nsrR OS=Escherichia coli (strain K12) GN=nsrR PE=1 SV=1	nsrR	0.0225	0.00351		0.000901	0.002	0.00152	0.00132	0.00065	0.00119	0.000999	0.00198	0.000774	0.00278	0.000938	0.00108	0.00356	0.00172			0.000718	0.00124	
b4179	Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2	rnr	0.0383	0.0671	0.0367	0.0363	0.0443	0.0569	0.0479	0.0461	0.076	0.0537	0.0497	0.0498	0.0381	0.0466	0.0515	0.0728	0.0517	0.0515	0.0491	0.0364	0.0431	0.0679
b4180	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB OS=Escherichia coli (strain K12) GN=rlmB PE=1 SV=1	rlmB	0.0207	0.0327	0.0244	0.00945	0.0119	0.0133	0.0179	0.0147	0.0116	0.0096	0.00847	0.00716	0.00821	0.00577	0.0151	0.0188	0.0119	0.0128	0.0124	0.00893	0.00855	0.0141
b4187	Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3	aidB	0.0003	0.000997	0.00132	0.00169	0.000534	0.00113	0.00047	0.000263	0.00106	0.00121	0.00235	0.00322	0.0088	0.00887	0.000886	0.00162	0.0156	0.000739	0.000711	0.00162	0.000853	0.00032
b4188	Uncharacterized protein YjfN OS=Escherichia coli (strain K12) GN=yjfN PE=3 SV=1	yjfN	0.0000734	0.000859		0.0000607	0.0000576	0.000137	0.00000561	0.000273	0.000159	0.000313	0.000264	0.0000209	0.0000325	0.000035	0.000132	0.000112	0.0000668			0.0000546	0.000226	
b4190	Esterase yjfP OS=Escherichia coli (strain K12) GN=yjfP PE=1 SV=1	yjfP	0.00727	0.0165	0.0115	0.00428	0.00503	0.00584	0.00652	0.00409	0.00516	0.00364	0.00357	0.00374	0.00399	0.00385	0.00684	0.0136	0.0112	0.0074	0.00546	0.00318	0.00423	0.00517
b4191	HTH-type transcriptional regulator ulaR OS=Escherichia coli (strain K12) GN=ulaR PE=1 SV=1	ulaR	0.00142	0.0025	0.00173	0.000778	0.00129	0.000921	0.00136	0.00165	0.00105	0.000843	0.00104	0.000898	0.0000853	0.0000848	0.000361	0.000534	0.000212	0.00103	0.00107	0.000415	0.000934	0.000536
b4194	Ascorbate-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=ulaB PE=1 SV=1	ulaB	0.00051	0.000857		0.000494	0.000976	0.000447	0.000393	0.000195	0.000705	0.000698	0.00046	0.000632	0.002	0.00207	0.000443	0.000742	0.000237			0.000275	0.000337	
b4200	30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1	rpsF	0.454	1.1	0.763	0.227	0.27	0.311	0.316	0.261	0.343	0.229	0.184	0.15	0.205	0.22	0.464	0.427	0.422	0.382	0.274	0.191	0.258	0.364
b4201	Primosomal replication protein n OS=Escherichia coli (strain K12) GN=priB PE=1 SV=3	priB	0.000174	0.0000277	0.00000143	0.00000321	0.00000911	0.000201	0.000166	0.000138	0.00019	0.000147	0.000102	0.0000907	0.000137	0.0000806	0.000227	0.000422	0.00029	0.000205	0.0000807	0.000136	0.000155	0.00018
b4202	30S ribosomal protein S18 OS=Escherichia coli (strain K12) GN=rpsR PE=1 SV=2	rpsR	0.378	1.06	0.582	0.177	0.276	0.302	0.334	0.237	0.308	0.211	0.164	0.129	0.181	0.126	0.276	0.368	0.295	0.368	0.269	0.223	0.305	0.439
b4203	50S ribosomal protein L9 OS=Escherichia coli (strain K12) GN=rplI PE=1 SV=1	rplI	0.912	2.19	1.43	0.356	0.57	0.692	0.678	0.519	0.517	0.375	0.299	0.217	0.532	0.433	0.813	0.91	0.925	0.797	0.572	0.364	0.523	0.836
b4206	Uncharacterized protein ytfB OS=Escherichia coli (strain K12) GN=ytfB PE=4 SV=2	ytfB	0.00757	0.00866	0.00821	0.00633	0.00674	0.00823	0.00891	0.00941	0.00571	0.00621	0.00603	0.00585	0.00556	0.00242	0.00983	0.00799	0.00904	0.00783	0.00665	0.00658	0.00497	0.00655
b4207	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fklB PE=1 SV=2	fklB	0.161	0.294	0.308	0.0662	0.117	0.126	0.123	0.132	0.1	0.0775	0.0574	0.0398	0.0625	0.06	0.186	0.103	0.149	0.125	0.11	0.0681	0.118	0.132
b4208	D-serine/D-alanine/glycine transporter OS=Escherichia coli (strain K12) GN=cycA PE=1 SV=1	cycA	0.0154	0.0158	0.0418	0.0329	0.0466	0.0365	0.0273	0.0385	0.0628	0.0754	0.0653	0.0705	0.00387	0.00333	0.0119	0.0197	0.018	0.0266	0.0353	0.0229	0.0399	0.0278
b4209	Iron-sulfur cluster repair protein YtfE OS=Escherichia coli (strain K12) GN=ytfE PE=1 SV=1	ytfE	0.00026	0.00289	0.00201	0.000298	0.00024	0.000425	0.000166	0.000139	0.000225	0.000242	0.000111	0.000132	0.00655	0.00774	0.014	0.000459	0.00523	0.000788	0.000208	0.000185	0.000143	0.00013
b4211	Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) GN=qorB PE=1 SV=1	qorB	0.0132	0.00645	0.0128	0.00842	0.00866	0.011	0.0115	0.00945	0.0109	0.00838	0.00842	0.00813	0.00412	0.00454	0.0115	0.0107	0.0244	0.00851	0.0121	0.00986	0.0118	0.0141
b4212	Uncharacterized HTH-type transcriptional regulator ytfH OS=Escherichia coli (strain K12) GN=ytfH PE=4 SV=1	ytfH	0.000474	0.00145		0.000443	0.000685	0.000267	0.000422	0.000051	0.000858	0.00000808	0.000581	0.000229	0.000314	0.000605	0.000395	0.000458	0.000724			0.000169	0.000332	
b4213	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) GN=cpdB PE=1 SV=2	cpdB	0.0158	0.063	0.0446	0.0308	0.0302	0.0292	0.0232	0.026	0.029	0.033	0.0262	0.0242	0.0139	0.00994	0.0136	0.0209	0.0137	0.0237	0.0312	0.0222	0.0336	0.0215
b4214	3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) GN=cysQ PE=1 SV=2	cysQ	0.0413	0.0441	0.0417	0.0371	0.0397	0.0481	0.0388	0.0377	0.0276	0.0285	0.0325	0.0436	0.0822	0.0863	0.0539	0.0512	0.0683	0.0311	0.0417	0.0498	0.0307	0.0329
b4216	Uncharacterized protein ytfJ OS=Escherichia coli (strain K12) GN=ytfJ PE=1 SV=1	ytfJ	0.0015	0.0135	0.0104	0.00144	0.00227	0.00791	0.00204	0.00208	0.00372	0.00499	0.00448	0.00318	0.00225	0.000875	0.000943	0.00112	0.000517	0.000874	0.00247	0.00109	0.0019	0.00152
b4218	UPF0053 inner membrane protein ytfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1	ytfL	0.000984	0.00182	0.00225	0.000712	0.000939	0.00136	0.000589	0.00107	0.00378	0.00387	0.00298	0.0031	0.0000534	0.0000372	0.000211	0.000131	0.00052	0.000483	0.000373	0.00012	0.000335	0.000264
b4219	Peptide methionine sulfoxide reductase msrA OS=Escherichia coli (strain K12) GN=msrA PE=1 SV=2	msrA	0.0266	0.0282	0.0197	0.0206	0.0221	0.0264	0.0267	0.0253	0.0155	0.0164	0.0199	0.0171	0.0289	0.0272	0.0478	0.0319	0.0541	0.0276	0.0263	0.0318	0.0192	0.025
b4220	Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1	tamA	0.00388	0.00645	0.00476	0.00264	0.00255	0.00392	0.0031	0.00254	0.00245	0.0022	0.0022	0.00175	0.00341	0.00379	0.00697	0.00399	0.00443	0.00375	0.00257	0.00313	0.00241	0.00292
b4221	Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2	tamB	0.000678	0.00213	0.000649	0.000363	0.000509	0.000764	0.000467	0.000964	0.00091	0.000947	0.000816	0.000726	0.00104	0.000667	0.00085	0.00144	0.00128	0.000899	0.000824	0.000689	0.000692	0.000914
b4222	Gamma-glutamylcyclotransferase family protein ytfP OS=Escherichia coli (strain K12) GN=ytfP PE=1 SV=1	ytfP	0.023	0.026	0.0196	0.0108	0.0164	0.0186	0.0248	0.011	0.0135	0.00886	0.0107	0.00652	0.0101	0.0134	0.0143	0.022	0.029	0.0183	0.0133	0.0141	0.0191	0.0279
b4224	Antitoxin ChpS OS=Escherichia coli (strain K12) GN=chpS PE=1 SV=1	chpS	0.000131	0.0000111		0.0000221	0.000837	0.0000272	0.0000234	0.0000137	0.00000907	0.00000638	0.0000155	0.000003	0.0000206	0.0000364	0.00019	0.000306	0.000113			0.00000416	0.0000105	
b4225	mRNA interferase ChpB OS=Escherichia coli (strain K12) GN=chpB PE=1 SV=1	chpB	0.00149	0.000943	0.00095	0.00214	0.00172	0.00213	0.00173	0.00274	0.00145	0.00151	0.0014	0.00143	0.0012	0.00108	0.0018	0.0016	0.00153	0.00173	0.00345	0.00361	0.0036	0.00342
b4226	Inorganic pyrophosphatase OS=Escherichia coli (strain K12) GN=ppa PE=1 SV=2	ppa	0.273	0.469	0.417	0.183	0.249	0.262	0.247	0.219	0.193	0.176	0.145	0.135	0.218	0.209	0.364	0.337	0.342	0.314	0.268	0.231	0.263	0.301
b4227	ABC transporter periplasmic-binding protein ytfQ OS=Escherichia coli (strain K12) GN=ytfQ PE=1 SV=1	ytfQ	0.00565	0.0216	0.0161	0.0302	0.0465	0.0291	0.0191	0.0244	0.0261	0.0554	0.0776	0.111	0.0838	0.0714	0.00653	0.00639	0.00476	0.0103	0.0389	0.171	0.0413	0.0113
b4232	Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1	fbp	0.0577	0.198	0.135	0.114	0.102	0.0683	0.0663	0.148	0.0598	0.0558	0.0491	0.0371	0.0444	0.0324	0.0864	0.0741	0.0716	0.0818	0.0742	0.0591	0.111	0.0549
b4233	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=mpl PE=1 SV=3	mpl	0.0292	0.0583	0.0422	0.0176	0.0183	0.0206	0.0235	0.0224	0.0211	0.0154	0.0165	0.0137	0.00905	0.0117	0.0217	0.0269	0.0159	0.0276	0.0205	0.0159	0.0212	0.0205
b4234	UPF0307 protein yjgA OS=Escherichia coli (strain K12) GN=yjgA PE=1 SV=1	yjgA	0.00589	0.0154	0.00993	0.00555	0.00561	0.00653	0.00532	0.00394	0.00457	0.00412	0.00384	0.00409	0.00739	0.00777	0.00697	0.00782	0.0109	0.00554	0.00592	0.00463	0.00421	0.00481
b4235	Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1	pmbA	0.104	0.144	0.125	0.0704	0.07	0.0704	0.086	0.0727	0.0629	0.0572	0.0446	0.0434	0.0256	0.0281	0.0902	0.0909	0.0913	0.0864	0.0755	0.0528	0.0677	0.0839
b4238	Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2	nrdD	0.004	0.00696	0.00391	0.00418	0.00492	0.00361	0.00632	0.00348	0.00848	0.00842	0.00642	0.0055	0.000433	0.000938	0.00518	0.00499	0.00123	0.00342	0.00453	0.0036	0.00286	0.00255
b4239	Trehalose-6-phosphate hydrolase OS=Escherichia coli (strain K12) GN=treC PE=3 SV=3	treC	0.000408	0.0513	0.00539	0.000515	0.000951	0.00111	0.000857	0.000917	0.000543	0.000971	0.00119	0.00142	0.00134	0.000667	0.00136	0.00135	0.000426	0.00116	0.00131	0.00207	0.000774	0.00147
b4240	PTS system trehalose-specific EIIBC component OS=Escherichia coli (strain K12) GN=treB PE=1 SV=4	treB	0.00125	0.0248	0.00453	0.00122	0.00194	0.00163	0.00186	0.002	0.00239	0.00362	0.00676	0.00746	0.000611	0.00128	0.00128	0.00199	0.000618	0.00109	0.00182	0.00321	0.00212	0.00183
b4241	HTH-type transcriptional regulator treR OS=Escherichia coli (strain K12) GN=treR PE=1 SV=2	treR	0.000271	0.0000729	0.000182	0.000214	0.000334	0.000338	0.000295	0.000372	0.000411	0.000438	0.000353	0.00043	0.00028	0.000283	0.000268	0.000583	0.000455	0.000524	0.00044	0.000489	0.00049	0.000479
b4242	Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli (strain K12) GN=mgtA PE=1 SV=1	mgtA	0.0108	0.0255	0.00983	0.0028	0.0162	0.0155	0.0128	0.018	0.00712	0.0085	0.0135	0.0223	0.00593	0.00536	0.0127	0.00733	0.00672	0.0112	0.00816	0.0134	0.0135	0.0109
b4243	RutC family protein yjgF OS=Escherichia coli (strain K12) GN=yjgF PE=1 SV=2	ridA	0.209	0.411	0.375	0.22	0.251	0.179	0.203	0.181	0.254	0.188	0.123	0.115	0.224	0.22	0.365	0.26	0.302	0.251	0.192	0.156	0.247	0.187
b4244	Aspartate carbamoyltransferase regulatory chain OS=Escherichia coli (strain K12) GN=pyrI PE=1 SV=2	pyrI	0.541	0.0863	0.0693	0.346	0.629	0.512	0.586	0.341	0.604	0.389	0.234	0.191	0.293	0.289	0.691	0.39	0.598	0.473	0.433	0.558	0.677	0.513
b4245	Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2	pyrB	0.508	0.0518	0.0512	0.43	0.762	0.545	0.672	0.377	1.15	0.691	0.425	0.411	0.239	0.256	0.504	0.425	0.596	0.587	0.503	0.579	0.724	0.614
b4248	RutC family protein yjgH OS=Escherichia coli (strain K12) GN=yjgH PE=1 SV=1	yjgH	0.000374	0.000126		0.000239	0.0000548	0.0000928	0.0000509	0.0000439	0.0000819	0.000237	0.0000026	0.0000747	0.000277	0.0000405	0.0000747	0.000692	0.00006			0.0000722	0.000113	
b4251	Uncharacterized HTH-type transcriptional regulator yjgJ OS=Escherichia coli (strain K12) GN=yjgJ PE=4 SV=2	bdcR	0.00442	0.0254	0.00572	0.00215	0.0017	0.00176	0.00181	0.00176	0.00197	0.00216	0.00119	0.00104	0.000473	0.000442	0.00153	0.0015	0.000982	0.00206	0.00137	0.000506	0.00144	0.00135
b4252	Uncharacterized protein yjgK OS=Escherichia coli (strain K12) GN=yjgK PE=1 SV=1	tabA	0.443	0.354	0.464	0.485	0.397	0.375	0.471	0.334	0.464	0.431	0.412	0.29	0.216	0.224	0.485	0.47	0.623	0.532	0.471	0.317	0.401	0.477
b4254	Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3	argI	0.0493	0.00434	0.00842	0.0206	0.0253	0.0209	0.0253	0.0172	0.0289	0.0217	0.0272	0.037	0.0029	0.00222	0.0345	0.0228	0.0289	0.0325	0.0222	0.017	0.0226	0.0283
b4255	Regulator of ribonuclease activity B OS=Escherichia coli (strain K12) GN=rraB PE=1 SV=1	rraB	0.0502	0.0493	0.0631	0.0524	0.048	0.0508	0.0418	0.0415	0.0634	0.0493	0.0415	0.0367	0.0685	0.0643	0.0791	0.0492	0.0924	0.0576	0.0388	0.0323	0.0376	0.0529
b4256	Uncharacterized N-acetyltransferase YjgM OS=Escherichia coli (strain K12) GN=yjgM PE=3 SV=2	yjgM	0.00396	0.00253	0.00256	0.00209	0.00222	0.00345	0.00272	0.00297	0.00204	0.00265	0.00239	0.00175	0.00412	0.00189	0.00533	0.00915	0.00507	0.00431	0.00325	0.00312	0.0024	0.00366
b4258	Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2	valS	0.309	0.558	0.384	0.149	0.184	0.187	0.2	0.187	0.233	0.174	0.135	0.117	0.0912	0.0901	0.173	0.343	0.203	0.249	0.213	0.136	0.189	0.252
b4259	DNA polymerase III subunit chi OS=Escherichia coli (strain K12) GN=holC PE=1 SV=1	holC	0.000123	0.000382	0.0000347	0.000061	0.0000139	0.0000523	0.0000265	0.000028	0.0000446	0.0000192	0.0000455	0.0000947	0.0000123	0.00000729	0.0000605	0.0000567	0.00000868	0.000139	0.0000243	0.0000923	0.0000391	0.0000074
b4260	Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1	pepA	0.0979	0.152	0.0913	0.0646	0.0906	0.107	0.107	0.108	0.15	0.134	0.121	0.113	0.0647	0.0665	0.0836	0.106	0.0881	0.104	0.0939	0.0839	0.0799	0.111
b4261	Lipopolysaccharide export system permease protein lptF OS=Escherichia coli (strain K12) GN=lptF PE=1 SV=1	lptF	0.00489	0.00865	0.00709	0.00436	0.00521	0.00651	0.00531	0.00469	0.00834	0.00772	0.00756	0.0076	0.00152	0.00384	0.00484	0.0061	0.00491	0.00649	0.00499	0.00588	0.00481	0.00709
b4262	Lipopolysaccharide export system permease protein lptG OS=Escherichia coli (strain K12) GN=lptG PE=1 SV=1	lptG	0.00583	0.0104	0.00729	0.0028	0.0042	0.00504	0.00458	0.00618	0.00713	0.00654	0.00568	0.00602	0.00245	0.00231	0.00295	0.0058	0.0036	0.00851	0.00795	0.0064	0.0065	0.00904
b4263	Uncharacterized protein yjgR OS=Escherichia coli (strain K12) GN=yjgR PE=1 SV=1	yjgR	0.0157	0.0106	0.0155	0.0139	0.0197	0.0169	0.0204	0.0152	0.0161	0.017	0.0173	0.0233	0.0174	0.0218	0.0162	0.0209	0.0248	0.0146	0.0199	0.025	0.0191	0.0122
b4266	Gluconate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnO PE=3 SV=1	idnO	0.0275	0.0479		0.0179	0.0229	0.685	0.0176	0.0203	0.0223	0.0261	0.0224	0.0165	0.0277	0.0197	0.024	0.0242	0.0234			0.0132	0.0185	
b4267	L-idonate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnD PE=1 SV=1	idnD	0.0169	0.0235		0.00792	0.00884	0.493	0.0114	0.0105	0.00942	0.00927	0.00849	0.00878	0.00713	0.00418	0.0148	0.0141	0.0125			0.00628	0.00628	
b4268	Thermosensitive gluconokinase OS=Escherichia coli (strain K12) GN=idnK PE=3 SV=1	idnK	0.000514	0.000796		0.000197	0.000567	0.06	0.000416	0.000634	0.000285	0.00154	0.000591	0.000239	0.00054	0.000351	0.000459	0.00136	0.000587			0.000182	0.000404	
b4269	Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2	ahr	0.0000619	0.00000143	0.00000124	0.000122	0.0000535	0.000212	0.0000721	0.000105	0.000155	0.00019	0.000219	0.0000605	0.000189	0.0000124	0.000108	0.00000392	0.000589	0.00000594	0.0000621	0.00000145	0.0000143	0.00000644
